# from: https://www.timeanddate.com/holidays/greece/
date	weekday	name	type
Jan 1	Sunday	New Year's Day	Public holiday
Jan 6	Friday	Epiphany	Public holiday
Jan 30	Monday	The Three Holy Hierarchs	Observance
Feb 27	Monday	Clean Monday	Public holiday
Mar 20	Monday	March equinox	Season
Mar 25	Saturday	25th of March (national holiday)	Public holiday
Mar 25	Saturday	Annunciation of the Lord	Public holiday
Apr 14	Friday	Good Friday	Public holiday
Apr 16	Sunday	Easter Sunday	Public holiday
Apr 17	Monday	Easter Monday	Public holiday
May 1	Monday	Labor Day / May Day	Public holiday
Jun 5	Monday	Holy Spirit Monday	Public holiday
Jun 21	Wednesday	June Solstice	Season
Jul 24	Monday	The Restoration of Democracy	Observance
Aug 15	Tuesday	Dormition of the Holy Virgin	Public holiday
Sep 22	Friday	September equinox	Season
Oct 28	Saturday	The Ochi day	Public holiday
Nov 17	Friday	Polytechneio	Observance
Nov 21	Tuesday	Armed Forces Day	Observance
Dec 21	Thursday	December Solstice	Season
Dec 25	Monday	Christmas Day	Public holiday
Dec 26	Tuesday	Synaxis of the Mother of God	Public holiday
